name,created,updated,opt_in_process
Fenomilano,2023-12-23T14:12:27+00:00,2023-12-23T14:12:27+00:00,double_opt_in
SMS Subscribers,2023-12-19T05:43:02+00:00,2023-12-19T05:43:02+00:00,double_opt_in
Update Profiles,2024-01-03T06:53:41+00:00,2024-01-03T06:53:41+00:00,double_opt_in
Newsletter,2023-12-19T05:43:02+00:00,2023-12-19T05:43:02+00:00,double_opt_in
Newsletter Checkout,2023-12-28T10:21:19+00:00,2023-12-28T10:21:19+00:00,double_opt_in
Preview List,2023-12-19T05:43:02+00:00,2023-12-19T05:43:02+00:00,double_opt_in
