name,status,archived,created_at,scheduled_at,updated_at,send_time
Treat yourself to 15% OFF,Sent,False,2024-12-09T16:19:32.662678+00:00,2024-12-09T16:19:54.859600+00:00,2024-12-13T08:14:49.170436+00:00,2024-12-13T08:15:00+00:00
Fenomilano Icons,Sent,False,2024-12-02T15:15:36.579460+00:00,2024-12-02T15:16:04.294035+00:00,2024-12-10T18:00:17.869895+00:00,2024-12-10T10:00:00+00:00
Fenomilano Icons,Sent,False,2024-12-02T14:28:59.599479+00:00,2024-12-02T15:15:20.812359+00:00,2024-12-10T17:59:51.820230+00:00,2024-12-10T10:00:00+00:00
"Your favorites, back in stock.",Sent,False,2024-12-02T13:55:59.014072+00:00,2024-12-02T14:28:21.482129+00:00,2024-12-05T16:00:55.113126+00:00,2024-12-05T16:00:00+00:00
"Black Friday is over, Cyber Monday is here with up to -50%.",Sent,False,2024-12-02T13:27:46.875086+00:00,2024-12-02T13:49:31.546875+00:00,2024-12-02T16:30:08.102640+00:00,2024-12-02T16:30:00+00:00
"Black Friday is over, Cyber Monday is here with up to -50%.",Sent,False,2024-12-02T13:50:15.268088+00:00,2024-12-02T13:50:42.597091+00:00,2024-12-02T16:30:07.920786+00:00,2024-12-02T16:30:00+00:00
"Limited Time, Limitless Style – Black Friday Deals!",Sent,False,2024-11-22T05:55:55.487462+00:00,2024-11-22T05:56:15.176257+00:00,2024-11-29T18:00:23.341281+00:00,2024-11-29T10:00:00+00:00
"Limited Time, Limitless Style – Black Friday Deals!",Sent,False,2024-11-22T05:43:06.924016+00:00,2024-11-22T05:55:42.547671+00:00,2024-11-29T18:00:11.146319+00:00,2024-11-29T10:00:00+00:00
Fall-ing in BLACK FRIDAY offers,Sent,False,2024-11-22T05:32:43.662807+00:00,2024-11-22T05:40:22.021187+00:00,2024-11-23T18:00:21.887987+00:00,2024-11-23T10:00:00+00:00
From Day to Night: Your Perfect Pair Awaits,Sent,False,2024-11-19T13:37:06.544696+00:00,2024-11-19T13:37:22.209142+00:00,2024-11-22T02:00:07.660844+00:00,2024-11-21T18:00:00+00:00
From Day to Night: Your Perfect Pair Awaits,Sent,False,2024-11-18T10:24:09.383056+00:00,2024-11-18T10:36:28.015335+00:00,2024-11-21T18:29:54.178007+00:00,2024-11-21T10:30:00+00:00
ΠΑΓΚΟΣΜΙΑ ΗΜΕΡΑ ΑΝΤΡΩΝ,Sent,False,2024-11-18T10:12:34.733578+00:00,2024-11-18T10:21:25.049649+00:00,2024-11-20T01:59:48.875208+00:00,2024-11-19T18:00:00+00:00
ΠΑΓΚΟΣΜΙΑ ΗΜΕΡΑ ΑΝΤΡΩΝ,Sent,False,2024-11-19T13:36:28.562921+00:00,2024-11-19T13:36:50.881469+00:00,2024-11-19T15:59:53.295915+00:00,2024-11-19T16:00:00+00:00
"Landed, grounded, ready for action",Sent,False,2024-11-06T13:01:22.338259+00:00,2024-11-06T13:31:47.948502+00:00,2024-11-16T02:00:14.024593+00:00,2024-11-15T18:00:00+00:00
Discover the new Bubble Sneakers,Sent,False,2024-11-06T12:59:17.805589+00:00,2024-11-06T12:59:43.759085+00:00,2024-11-13T02:29:54.940701+00:00,2024-11-12T18:30:00+00:00
Discover the new Bubble Sneakers,Sent,False,2024-11-06T12:45:46.274286+00:00,2024-11-06T12:59:06.028518+00:00,2024-11-13T02:00:01.320373+00:00,2024-11-12T18:00:00+00:00
Contemporary touch,Sent,False,2024-11-06T12:25:37.976900+00:00,2024-11-06T12:43:01.914417+00:00,2024-11-08T18:29:50.218623+00:00,2024-11-08T10:30:00+00:00
A new signature (The F-Sneakers),Sent,False,2024-11-01T05:00:51.302564+00:00,2024-11-01T14:18:54.068091+00:00,2024-11-05T18:00:48.460700+00:00,2024-11-05T10:00:00+00:00
???? Fall Trends Unveiled! Your 2024 shoes guide.,Sent,False,2024-10-10T16:20:17.747737+00:00,2024-10-21T11:47:00.395941+00:00,2024-10-31T16:00:29.891578+00:00,2024-10-31T16:00:00+00:00
Fall Trends Unveiled! Your 2024 shoes guide. (clone),Sent,False,2024-10-21T11:47:12.489062+00:00,2024-10-21T11:47:46.719101+00:00,2024-10-31T15:59:51.059906+00:00,2024-10-31T16:00:00+00:00
Men in Black_ You can never go wrong wearing black shoes,Sent,False,2024-10-10T17:03:30.803286+00:00,2024-10-10T17:11:52.190119+00:00,2024-10-29T16:29:56.254266+00:00,2024-10-29T16:30:00+00:00
Men in Black_ You can never go wrong wearing black shoes,Sent,False,2024-10-11T08:10:29.416196+00:00,2024-10-11T08:10:48.115867+00:00,2024-10-29T16:29:48.545572+00:00,2024-10-29T16:30:00+00:00
10% extra off sitewide! Your exclusive Fenomilano coupon inside.,Sent,False,2024-10-10T16:41:25.587261+00:00,2024-10-10T17:01:54.338470+00:00,2024-10-24T15:29:52.838677+00:00,2024-10-24T15:30:00+00:00
10% extra off sitewide! Your exclusive Fenomilano coupon inside.,Sent,False,2024-10-11T08:09:42.302433+00:00,2024-10-11T08:10:00.923745+00:00,2024-10-24T15:29:50.949213+00:00,2024-10-24T15:30:00+00:00
"Your dream shoes, crafted by you! Give it a try!",Sent,False,2024-10-11T08:09:00.054122+00:00,2024-10-11T08:09:18.600665+00:00,2024-10-22T15:00:00.826858+00:00,2024-10-22T15:00:00+00:00
"Your dream shoes, crafted by you! Give it a try!",Sent,False,2024-10-10T16:24:12.865689+00:00,2024-10-10T16:37:15.952197+00:00,2024-10-22T14:59:55.662370+00:00,2024-10-22T15:00:00+00:00
Must-Have shoes for October 2024,Sent,False,2024-10-11T08:08:21.596356+00:00,2024-10-11T08:08:39.194086+00:00,2024-10-15T15:00:04.818152+00:00,2024-10-15T15:00:00+00:00
Must-Have shoes for October 2024,Sent,False,2024-10-10T15:54:34.179486+00:00,2024-10-10T16:14:35.730112+00:00,2024-10-15T14:59:59.329907+00:00,2024-10-15T15:00:00+00:00
October Limited Sale. Luxury leather shoes up to -60%,Sent,False,2024-10-08T12:31:02.971525+00:00,2024-10-09T05:43:39.650204+00:00,2024-10-10T14:59:55.555918+00:00,2024-10-10T15:00:00+00:00
