name,created,updated,integration
Unsubscribed from Email Marketing,2024-03-30T14:56:53+00:00,2024-03-30T14:56:53+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Opened Email,2023-12-19T05:42:59+00:00,2023-12-19T05:42:59+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Updated Email Preferences,2024-01-05T09:19:48+00:00,2024-01-05T09:19:48+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Package delayed,2024-06-30T04:20:45+00:00,2024-06-30T04:20:45+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Added to Cart,2023-12-23T11:44:48+00:00,2023-12-23T11:44:48+00:00,"{'object': 'integration', 'id': '7FtS4J', 'key': 'api', 'name': 'API', 'category': 'API'}"
Clicked Email (MailChimp),2023-12-23T14:12:27+00:00,2023-12-23T14:12:27+00:00,"{'object': 'integration', 'id': '4Eerst', 'key': 'mailchimp', 'name': 'Mailchimp', 'category': 'Email'}"
Viewed Product,2023-12-23T09:14:53+00:00,2023-12-23T09:14:53+00:00,"{'object': 'integration', 'id': '7FtS4J', 'key': 'api', 'name': 'API', 'category': 'API'}"
Received SMS,2023-12-19T05:43:02+00:00,2023-12-19T05:43:02+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Clicked Email,2023-12-19T05:42:59+00:00,2023-12-19T05:42:59+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Unsubscribed from SMS Marketing,2023-12-19T05:43:02+00:00,2023-12-19T05:43:02+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Refunded Order,2023-12-23T09:14:52+00:00,2023-12-23T09:14:52+00:00,"{'object': 'integration', 'id': 'gJULNE', 'key': 'woocommerce', 'name': 'WooCommerce', 'category': 'eCommerce'}"
Dropped Email,2023-12-19T05:43:00+00:00,2023-12-19T05:43:00+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Submitted review,2024-06-30T04:20:46+00:00,2024-06-30T04:20:46+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Form completed by profile,2024-05-10T19:40:42+00:00,2024-05-10T19:40:42+00:00,"{'object': 'integration', 'id': '7FtS4J', 'key': 'api', 'name': 'API', 'category': 'API'}"
Subscribed to List,2024-01-05T09:19:20+00:00,2024-01-05T09:19:20+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Ordered Product,2023-12-23T09:14:51+00:00,2023-12-23T09:14:51+00:00,"{'object': 'integration', 'id': 'gJULNE', 'key': 'woocommerce', 'name': 'WooCommerce', 'category': 'eCommerce'}"
closed_teaser,2024-01-04T10:01:31+00:00,2024-01-04T10:01:31+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Submitted Form,2024-01-04T09:52:42+00:00,2024-01-04T09:52:42+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
unsubscribe_page_submit,2024-01-04T12:46:34+00:00,2024-01-04T12:46:34+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
bot_protection,2024-12-05T10:53:40+00:00,2024-12-05T10:53:40+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
submitted_form_step,2024-01-04T09:52:42+00:00,2024-01-04T09:52:42+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Form completed by profile,2024-07-06T18:39:22+00:00,2024-07-06T18:39:22+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
qualified_form,2024-01-04T09:52:42+00:00,2024-01-04T09:52:42+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Form submitted by profile,2024-07-06T18:39:22+00:00,2024-07-06T18:39:22+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
viewed_form_step,2024-01-04T09:52:42+00:00,2024-01-04T09:52:42+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Viewed Form,2024-01-04T09:52:42+00:00,2024-01-04T09:52:42+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
Closed Form,2024-01-04T09:52:42+00:00,2024-01-04T09:52:42+00:00,"{'object': 'integration', 'id': '0rG4eQ', 'key': 'klaviyo', 'name': 'Klaviyo', 'category': 'Internal'}"
